"lot_id","account_company_name"
178674,TU Delft
178720,TU Delft
178747,TU Delft
178762,TU Delft
178782,TU Delft
178688,TU Delft
178731,TU Delft
178685,TU Delft
178721,TU Delft
178736,TU Delft
178724,TU Delft
178725,TU Delft
178684,TU Delft
178680,TU Delft
178681,TU Delft
178679,TU Delft
178719,TU Delft
178734,TU Delft
178677,TU Delft
178672,TU Delft
178683,TU Delft
181507,TU Delft
181521,TU Delft
181505,TU Delft
178687,TU Delft
178780,TU Delft
178693,TU Delft
178742,TU Delft
178748,TU Delft
178749,TU Delft
178740,TU Delft
178699,TU Delft
178701,TU Delft
178757,TU Delft
181367,Spaarne Gasthuis
181368,Spaarne Gasthuis
181362,Spaarne Gasthuis
181363,Spaarne Gasthuis
181364,Spaarne Gasthuis
181365,Spaarne Gasthuis
181494,TU Delft
178750,TU Delft
178759,TU Delft
178690,TU Delft
178705,TU Delft
178678,TU Delft
178676,TU Delft
178717,TU Delft
178715,TU Delft
178781,TU Delft
178783,TU Delft
182179,Spaarne Gasthuis
182180,Spaarne Gasthuis
178729,TU Delft
178730,TU Delft
178735,TU Delft
178726,TU Delft
178727,TU Delft
179492,Coolblue
179493,Coolblue
178673,TU Delft
178844,Coolblue
181474,KOcycle
179138,Coolblue
179140,Coolblue
179139,Coolblue
179135,Coolblue
181476,KOcycle
181479,KOcycle
181473,KOcycle
179132,Coolblue
179136,Coolblue
179133,Coolblue
179515,Coolblue
181438,KOcycle
178802,Coolblue
181966,KOcycle
181967,KOcycle
179513,Coolblue
181477,KOcycle
179435,Coolblue
179432,Coolblue
179433,Coolblue
178728,TU Delft
179430,Coolblue
179434,Coolblue
179131,Coolblue
178805,Coolblue
179137,Coolblue
179517,Coolblue
178733,TU Delft
181446,KOcycle
181478,KOcycle
181480,KOcycle
178801,Coolblue
179518,Coolblue
179519,Coolblue
178843,Coolblue
179514,Coolblue
179431,Coolblue
179129,Coolblue
178847,Coolblue
181475,KOcycle
179516,Coolblue
178803,Coolblue
178804,Coolblue
181531,Spaarne Gasthuis
179436,Coolblue
179128,Coolblue
179130,Coolblue
179134,Coolblue
181973,Coolblue
178916,Socia ICT
178917,Socia ICT
178912,Socia ICT
178913,Socia ICT
178915,Socia ICT
178911,Socia ICT
178910,Socia ICT
181385,KOcycle
181387,KOcycle
181389,KOcycle
181373,KOcycle
181374,KOcycle
181376,KOcycle
181377,KOcycle
181378,KOcycle
181379,KOcycle
181361,KOcycle
179509,Coolblue
179475,Coolblue
178881,Socia ICT
178884,Socia ICT
179394,Coolblue
178779,TU Delft
179368,Coolblue
178830,Coolblue
